
Integration time [ms]: 100.000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804345U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 318.09;  -46.800;  -43.200;    0.000;-3.60000
 318.11;   -1.100;   14.500;    0.000;-15.60000
 318.13;    0.100;  -15.700;    0.000;15.80000
 318.15;  -25.700;  -37.700;    0.000;12.00000
 318.16;  -72.700;  -38.600;    0.000;-34.10000
 318.18;   48.700;   36.100;    0.000;12.60000
 318.20;  -11.800;  -15.600;    0.000; 3.80000
 318.22;    9.400;   -7.000;    0.000;16.40000
 318.24;  -27.600;  -26.900;    0.000;-0.70000
 318.26;   55.400;   40.900;    0.000;14.50000
 318.28;   -5.500;   11.900;    0.000;-17.40000
 318.30;   17.500;   47.000;    0.000;-29.50000
 318.32;  -12.600;   -5.200;    0.000;-7.40000
 318.34;   26.300;   51.200;    0.000;-24.90000
 318.36;  -27.500;   -5.300;    0.000;-22.20000
 318.38;   46.400;   37.600;    0.000; 8.80000
 318.40;    5.600;   24.600;    0.000;-19.00000
 318.42;  -44.900;  -57.800;    0.000;12.90000
 318.43;  -23.200;  -19.300;    0.000;-3.90000
 318.45;   15.600;   -3.500;    0.000;19.10000
 318.47;  -34.500;  -43.500;    0.000; 9.00000
 318.49;    1.900;   20.700;    0.000;-18.80000
 318.51;    4.100;   34.700;    0.000;-30.60000
 318.53;   92.400;   74.700;    0.000;17.70000
 318.55;  -38.500;  -30.600;    0.000;-7.90000
 318.57;   65.100;   74.200;    0.000;-9.10000
 318.59;  -33.700;   -3.300;    0.000;-30.40000
 318.61;   -9.600;   -7.300;    0.000;-2.30000
 318.63;  -29.600;  -56.500;    0.000;26.90000
 318.65;  -33.500;  -13.100;    0.000;-20.40000
 318.67;  -37.800;  -33.400;    0.000;-4.40000
 318.68;   29.400;   49.400;    0.000;-20.00000
 318.70;  -93.000;  -71.700;    0.000;-21.30000
 318.72;   60.900;   61.000;    0.000;-0.10000
 318.74;  -66.700;  -73.500;    0.000; 6.80000
 318.76;   98.600;   85.400;    0.000;13.20000
 318.78;   45.500;   16.300;    0.000;29.20000
 318.80;   21.200;   26.700;    0.000;-5.50000
