
Integration time [ms]:   1.500
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804346U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

 294.30;    2.196;    3.667;    0.000
 294.47;    1.053;    1.267;    0.000
 294.63;   -6.302;   30.333;    0.000
 294.80;    3.735;    0.400;    0.000
 294.97;   -1.401;    4.067;    0.000
 295.14;   -4.218;    3.467;    0.000
 295.31;    5.194;    9.200;    0.000
 295.48;    3.733;    9.800;    0.000
 295.64;   -2.158;  -12.800;    0.000
 295.81;   -2.635;    0.400;    0.000
 295.98;   -5.681;   -2.400;    0.000
 296.15;    1.234;   -5.800;    0.000
 296.32;   -0.572;   -4.000;    0.000
 296.48;    3.136;   -8.800;    0.000
 296.65;    7.814;   -4.800;    0.000
 296.82;   11.254;    5.867;    0.000
 296.99;   18.110;   -3.600;    0.000
 297.16;    7.090;   24.600;    0.000
 297.33;   -1.969;   16.467;    0.000
 297.49;    8.093;    2.133;    0.000
 297.66;   -3.059;    9.000;    0.000
 297.83;    3.761;   -0.800;    0.000
 298.00;   -4.360;    5.000;    0.000
 298.17;    4.983;   -0.200;    0.000
 298.33;   -7.039;   13.133;    0.000
 298.50;    2.791;    9.933;    0.000
 298.67;    0.659;   -1.067;    0.000
 298.84;    1.246;   -1.267;    0.000
 299.01;   -0.781;   16.667;    0.000
 299.17;    0.439;   16.533;    0.000
 299.34;   -9.104;    6.000;    0.000
 299.51;    1.246;   11.067;    0.000
 299.68;   -3.667;   -2.733;    0.000
 299.85;   -0.630;  -17.933;    0.000
 300.01;    1.524;   13.067;    0.000
 300.18;   -1.541;   11.200;    0.000
 300.35;   -4.150;    2.467;    0.000
 300.52;    9.143;   -2.000;    0.000
 300.69;    2.040;   10.000;    0.000
 300.86;    2.586;   -0.333;    0.000
 301.02;    2.214;   -2.867;    0.000
 301.19;    4.058;    6.000;    0.000
 301.36;    2.849;   -0.933;    0.000
 301.53;   -0.850;   20.733;    0.000
 301.70;    8.521;    2.867;    0.000
 301.86;    7.235;   21.467;    0.000
 302.03;    8.078;    1.800;    0.000
 302.20;   10.978;    4.000;    0.000
 302.37;   17.666;   -6.733;    0.000
 302.54;    8.296;    0.133;    0.000
 302.70;    1.598;   -4.600;    0.000
 302.87;    3.101;   46.133;    0.000
 303.04;    2.880;  -23.800;    0.000
 303.21;    9.094;    4.533;    0.000
 303.37;   -2.732;    5.267;    0.000
 303.54;    1.403;    1.933;    0.000
 303.71;    7.687;   12.133;    0.000
 303.88;    6.839;   12.200;    0.000
