hg_kvantdefekt
Integration time [ms]:   1.750
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804346U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 294.30;    1.540;    4.534;    0.000;-2.99458
 294.47;    3.484;    5.640;    0.000;-2.15617
 294.63;   -3.677;   -0.194;    0.000;-3.48379
 294.80;   -0.338;   -1.763;    0.000; 1.42546
 294.97;   -5.052;   -7.181;    0.000; 2.12897
 295.14;    1.678;    8.747;    0.000;-7.06893
 295.31;    3.552;   -1.700;    0.000; 5.25146
 295.48;   -5.000;   -3.463;    0.000;-1.53749
 295.64;   -6.218;    0.726;    0.000;-6.94321
 295.81;   -3.312;   -3.095;    0.000;-0.21754
 295.98;    2.323;   -0.602;    0.000; 2.92541
 296.15;    3.476;    2.408;    0.000; 1.06719
 296.32;   -4.172;    6.053;    0.000;-10.22503
 296.48;    4.874;    6.928;    0.000;-2.05406
 296.65;    1.605;   -0.352;    0.000; 1.95759
 296.82;   13.746;   11.224;    0.000; 2.52199
 296.99;   21.125;   -6.635;    0.000;27.75956
 297.16;    7.214;   -1.893;    0.000; 9.10764
 297.33;   -4.314;   -4.577;    0.000; 0.26332
 297.49;    0.134;    3.894;    0.000;-3.75985
 297.66;   -3.739;   -4.854;    0.000; 1.11496
 297.83;   -4.748;   -1.549;    0.000;-3.19912
 298.00;    5.921;   -5.113;    0.000;11.03344
 298.17;    0.850;   -6.338;    0.000; 7.18811
 298.33;   -0.398;    3.220;    0.000;-3.61760
 298.50;   -5.053;    2.994;    0.000;-8.04748
 298.67;    3.408;   -4.076;    0.000; 7.48417
 298.84;    2.374;    1.943;    0.000; 0.43114
 299.01;   -0.046;   -3.355;    0.000; 3.30844
 299.17;   -2.146;    5.707;    0.000;-7.85308
 299.34;    3.224;   -2.998;    0.000; 6.22226
 299.51;   -1.646;    1.572;    0.000;-3.21774
 299.68;   -2.350;   -3.655;    0.000; 1.30523
 299.85;    7.606;   -1.589;    0.000; 9.19468
 300.01;    0.716;   -3.499;    0.000; 4.21471
 300.18;    4.779;    6.239;    0.000;-1.45992
 300.35;    1.361;   -4.658;    0.000; 6.01864
