na_icke_saturated
Integration time [ms]:   2.000
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804346U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 294.30;   -1.713;    4.620;    0.000;-6.33322
 294.47;    4.368;   -3.697;    0.000; 8.06520
 294.63;   -5.844;    2.008;    0.000;-7.85243
 294.80;    1.844;   -3.810;    0.000; 5.65478
 294.97;   -2.881;    7.771;    0.000;-10.65194
 295.14;    9.275;   -0.450;    0.000; 9.72471
 295.31;   -0.327;    4.242;    0.000;-4.56899
 295.48;   -2.912;    3.896;    0.000;-6.80886
 295.64;    1.258;    2.401;    0.000;-1.14298
 295.81;   -3.920;   -3.633;    0.000;-0.28686
 295.98;   -3.087;    3.895;    0.000;-6.98141
 296.15;   -5.074;   -4.617;    0.000;-0.45668
 296.32;   -5.193;    7.973;    0.000;-13.16571
 296.48;    1.274;   -1.028;    0.000; 2.30185
 296.65;   -7.213;    2.710;    0.000;-9.92218
 296.82;    4.850;    2.774;    0.000; 2.07608
 296.99;   -2.826;   -2.342;    0.000;-0.48430
 297.16;    0.689;    2.195;    0.000;-1.50599
 297.33;   -6.466;    6.105;    0.000;-12.57168
 297.49;   -0.834;   -5.439;    0.000; 4.60515
 297.66;    0.924;   -1.532;    0.000; 2.45610
 297.83;    3.681;   -0.631;    0.000; 4.31156
 298.00;   -8.060;    2.451;    0.000;-10.51110
 298.17;   -2.975;    3.692;    0.000;-6.66712
 298.33;   -2.095;   10.406;    0.000;-12.50124
 298.50;   -0.849;    4.952;    0.000;-5.80066
 298.67;   -7.016;    0.739;    0.000;-7.75470
 298.84;   -3.790;   -6.030;    0.000; 2.23909
 299.01;   -0.429;    2.028;    0.000;-2.45701
 299.17;    1.467;   -4.669;    0.000; 6.13579
 299.34;   -1.348;   -0.200;    0.000;-1.14820
 299.51;   -3.558;    2.800;    0.000;-6.35820
 299.68;  -10.174;   -1.156;    0.000;-9.01818
 299.85;   -3.532;    5.176;    0.000;-8.70782
 300.01;   -3.921;   -0.368;    0.000;-3.55324
 300.18;   -3.469;    4.651;    0.000;-8.11923
 300.35;    1.535;   11.519;    0.000;-9.98386
