na_nagot_saturated
Integration time [ms]: 2000.000
Averaging Nr. [scans]: 5
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804346U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 294.30;  450.485;  113.769;    0.000;336.71621
 294.47;  498.390;  109.485;    0.000;388.90447
 294.63;  806.833;  473.110;    0.000;333.72208
 294.80; 1079.748;  699.183;    0.000;380.56537
 294.97;  353.466;   65.208;    0.000;288.25766
 295.14;  241.756;  -72.213;    0.000;313.96889
 295.31;  507.602;  151.859;    0.000;355.74351
 295.48;  420.192;  110.049;    0.000;310.14248
 295.64;  401.602;   87.018;    0.000;314.58400
 295.81;  -33.472; -357.365;    0.000;323.89332
 295.98;  483.429;  143.370;    0.000;340.05957
 296.15;  363.648;   44.889;    0.000;318.75862
 296.32;  115.920; -129.716;    0.000;245.63580
 296.48;  620.680;  406.864;    0.000;213.81570
 296.65; 1099.949;  736.159;    0.000;363.78987
 296.82;  460.997;  128.354;    0.000;332.64299
 296.99;   -6.109; -312.286;    0.000;306.17623
 297.16;  -52.932; -391.628;    0.000;338.69567
 297.33; 1068.650;  780.789;    0.000;287.86163
 297.49;  705.060;  404.422;    0.000;300.63815
 297.66;  478.264;  111.485;    0.000;366.77916
 297.83;  224.433;  -91.249;    0.000;315.68158
 298.00;  925.144;  603.214;    0.000;321.92987
 298.17;  662.744;  282.455;    0.000;380.28936
 298.33;  833.554;  587.023;    0.000;246.53089
 298.50;  -79.553; -445.352;    0.000;365.79912
 298.67;  513.717;  116.544;    0.000;397.17329
 298.84;  430.330;   82.999;    0.000;347.33133
 299.01;  522.071;  134.113;    0.000;387.95818
 299.17;  317.550;  -59.759;    0.000;377.30888
 299.34;  623.750;  211.600;    0.000;412.14938
 299.51;  737.150;  383.000;    0.000;354.14938
 299.68;  299.217;  -68.868;    0.000;368.08555
 299.85;  576.656;  158.440;    0.000;418.21614
 300.01;  214.223;  -48.563;    0.000;262.78606
 300.18;  573.885;  128.410;    0.000;445.47572
 300.35;  476.194;   84.149;    0.000;392.04548
 300.52;  315.525; -122.747;    0.000;438.27131
 300.69;  598.380;  264.852;    0.000;333.52795
 300.86;  166.846; -166.434;    0.000;333.28011
