
Integration time [ms]: 3000,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804343U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 318,01;  -46,000;    0,000;    0,000;-46,00000
 318,02; -228,000;    0,000;    0,000;-228,00000
 318,04;  617,000;    0,000;    0,000;617,00000
 318,06;   68,000;    0,000;    0,000;68,00000
 318,08; -358,000;    0,000;    0,000;-358,00000
 318,10; -240,000;    0,000;    0,000;-240,00000
 318,12;  368,000;    0,000;    0,000;368,00000
 318,14;   32,000;    0,000;    0,000;32,00000
 318,16; -326,000;    0,000;    0,000;-326,00000
 318,18; -302,000;    0,000;    0,000;-302,00000
 318,20; 1964,000;    0,000;    0,000;1964,00000
 318,22;  309,000;    0,000;    0,000;309,00000
 318,24;  418,000;    0,000;    0,000;418,00000
 318,26; -512,000;    0,000;    0,000;-512,00000
 318,27;  817,000;    0,000;    0,000;817,00000
 318,29;  503,000;    0,000;    0,000;503,00000
 318,31;   41,000;    0,000;    0,000;41,00000
 318,33; -372,000;    0,000;    0,000;-372,00000
 318,35;  736,000;    0,000;    0,000;736,00000
 318,37;  324,000;    0,000;    0,000;324,00000
 318,39;    8,000;    0,000;    0,000; 8,00000
 318,41; -258,000;    0,000;    0,000;-258,00000
 318,43;  810,000;    0,000;    0,000;810,00000
 318,45;   45,000;    0,000;    0,000;45,00000
 318,47; -360,000;    0,000;    0,000;-360,00000
 318,49; -843,000;    0,000;    0,000;-843,00000
 318,50;  439,000;    0,000;    0,000;439,00000
 318,52;  -78,000;    0,000;    0,000;-78,00000
 318,54; -259,000;    0,000;    0,000;-259,00000
 318,56; -455,000;    0,000;    0,000;-455,00000
 318,58;  367,000;    0,000;    0,000;367,00000
 318,60;  333,000;    0,000;    0,000;333,00000
 318,62;  -91,000;    0,000;    0,000;-91,00000
 318,64; -692,000;    0,000;    0,000;-692,00000
 318,66;  581,000;    0,000;    0,000;581,00000
 318,68;  147,000;    0,000;    0,000;147,00000
 318,70;  125,000;    0,000;    0,000;125,00000
 318,72; -474,000;    0,000;    0,000;-474,00000
 318,73;  144,000;    0,000;    0,000;144,00000
 318,75;  618,000;    0,000;    0,000;618,00000
