test
Integration time [ms]:   1.500
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804344U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 294.45;    5.255;    0.570;    0.000; 4.68499
 294.62;    6.400;    0.520;    0.000; 5.88038
 294.79;    5.076;   -0.570;    0.000; 5.64638
 294.96;    3.008;   -4.310;    0.000; 7.31811
 295.13;    3.930;   -4.290;    0.000; 8.21952
 295.29;   12.271;    6.230;    0.000; 6.04097
 295.46;   -1.432;    0.900;    0.000;-2.33221
 295.63;   -5.881;  -11.370;    0.000; 5.48934
 295.80;   12.094;   -0.220;    0.000;12.31422
 295.97;   -0.976;    1.070;    0.000;-2.04575
 296.14;    5.329;   -8.190;    0.000;13.51869
 296.30;   -1.448;   -2.120;    0.000; 0.67223
 296.47;    1.857;   -4.330;    0.000; 6.18702
 296.64;   -0.303;   -3.570;    0.000; 3.26720
 296.81;    8.551;    4.830;    0.000; 3.72115
 296.98;   10.736;   -3.980;    0.000;14.71586
 297.14;   18.334;   -8.150;    0.000;26.48408
 297.31;    7.179;   -2.170;    0.000; 9.34940
 297.48;   -0.466;    1.100;    0.000;-1.56632
 297.65;    2.597;   -0.300;    0.000; 2.89710
 297.82;    1.345;    2.910;    0.000;-1.56533
 297.99;    2.447;   -8.550;    0.000;10.99686
 298.15;   11.115;    2.060;    0.000; 9.05489
 298.32;    2.187;    2.220;    0.000;-0.03316
 298.49;    5.368;    1.020;    0.000; 4.34821
 298.66;   -1.592;    0.270;    0.000;-1.86153
 298.83;    0.364;   -2.580;    0.000; 2.94364
 298.99;   -3.804;    2.010;    0.000;-5.81443
 299.16;   -1.893;   -3.160;    0.000; 1.26730
 299.33;   -0.952;    3.650;    0.000;-4.60225
 299.50;    5.568;   -0.880;    0.000; 6.44819
 299.67;    4.216;   -7.380;    0.000;11.59624
 299.83;    3.678;    0.890;    0.000; 2.78754
 300.00;    2.826;   -3.010;    0.000; 5.83628
 300.17;    2.699;   -1.730;    0.000; 4.42883
 300.34;   -0.945;   -5.390;    0.000; 4.44521
 300.51;    3.093;    5.160;    0.000;-2.06730
 300.68;    6.271;   -0.180;    0.000; 6.45109
