
Integration time [ms]: 200.000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804344U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 294.45;  115.231;   99.500;    0.000;15.73147
 294.62;   56.554;   50.700;    0.000; 5.85448
 294.79;   35.379;   24.000;    0.000;11.37873
 294.96;   35.292;    5.700;    0.000;29.59245
 295.13;  104.005;  142.400;    0.000;-38.39542
 295.29;  -24.795;  -43.900;    0.000;19.10475
 295.46;  -70.109;  -77.300;    0.000; 7.19086
 295.63; -179.254; -175.700;    0.000;-3.55414
 295.80;  156.822;  119.700;    0.000;37.12250
 295.97;   38.073;   18.100;    0.000;19.97346
 296.14;  -49.857;  -46.100;    0.000;-3.75730
 296.30;   37.460;   61.200;    0.000;-23.73989
 296.47;  -10.604;   23.400;    0.000;-34.00420
 296.64;  -48.959;  -27.900;    0.000;-21.05940
 296.81;   46.563;   52.600;    0.000;-6.03654
 296.98;  134.281;  116.600;    0.000;17.68137
 297.14;   75.280;   85.200;    0.000;-9.92037
 297.31; -122.501; -116.000;    0.000;-6.50123
 297.48;   42.274;   75.900;    0.000;-33.62583
 297.65;  -80.614;  -84.300;    0.000; 3.68577
 297.82;  -24.970;    6.900;    0.000;-31.87011
 297.99;    0.188;  -18.500;    0.000;18.68805
 298.15;   -2.223;    8.800;    0.000;-11.02337
 298.32;   61.837;   50.700;    0.000;11.13708
 298.49;  -32.153;  -17.100;    0.000;-15.05272
 298.66;  -20.804;   -8.400;    0.000;-12.40404
 298.83;  -35.528;  -32.100;    0.000;-3.42776
 298.99;  -57.618;  -53.900;    0.000;-3.71827
 299.16;  -28.705;  -23.600;    0.000;-5.10456
 299.33;  -49.111;  -57.300;    0.000; 8.18893
 299.50;    9.996;   25.800;    0.000;-15.80368
 299.67;  156.536;  135.400;    0.000;21.13586
 299.83;   94.493;  155.200;    0.000;-60.70684
 300.00;   64.538;   51.900;    0.000;12.63779
 300.17;  -23.301;   -9.700;    0.000;-13.60052
 300.34; -113.722;  -88.000;    0.000;-25.72179
 300.51;  -21.282;   -5.600;    0.000;-15.68154
 300.68;  -13.289;  -13.400;    0.000; 0.11055
